DISTRICT,District Code,Facility Code,Facility Name,ZONE,FACTYPE,MGA,FTYPE,LATITUDE,LONGITUDE,,
Karonga,KA,0213,St. Anne's Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.411840,34.211880,,
Karonga,KA,0223,Timunyazge Clinic,Northern,Clinic,Private for profit,Rural,-10.211910,34.087430,,
Karonga,KA,0214,Wiliro Health Centre,Northern,Health Centre,Government/public,Rural,-9.893120,33.614040,,
Karonga,KA,0224,Chilumba Barracks,Northern,Health Centre,Government/public,Rural,-10.390210,34.208970,,
Karonga,KA,0225,Wovwe Escom Clinic,Northern,Clinic,Company,Rural,-10.443890,34.084610,,
,,,,,,,,,,,
Nkhata Bay,NB,0315,Nkhata Bay District Hospital,Northern,District Hospital,Government/public,Urban,-11.601590,34.298720,,
Nkhata Bay,NB,0305,Chintcheche Rural Hospital,Northern,Rural/Community Hospital,Government/public,Urban,-11.827190,34.168360,,
Nkhata Bay,NB,0301,Bula Health Centre,Northern,Health Centre,Government/public,Rural,-11.222680,34.123240,,
Nkhata Bay,NB,0302,Chesamu Health Centre,Northern,Health Centre,Government/public,Rural,-11.854220,34.018360,,
Nkhata Bay,NB,0303,Chikwina Health Centre,Northern,Health Centre,Government/public,Rural,-11.396940,34.169730,-11.396940,34.169730
Nkhata Bay,NB,0321,Chisala Health Centre,Northern,Health Centre,Government/public,Rural,-11.574580,34.122010,-11.574580,34.122010
Nkhata Bay,NB,0306,Chitheka Health Centre,Northern,Health Centre,Government/public,Rural,-11.701910,33.951470,-11.701910,33.951470
Nkhata Bay,NB,0308,Kachere Health Centre,Northern,Health Centre,Government/public,Rural,-12.003270,34.049610,-12.003270,34.049610
Nkhata Bay,NB,0309,Kande Health Centre,Northern,Health Centre,Government/public,Rural,-11.936410,34.109440,-11.936410,34.109440
Nkhata Bay,NB,0311,Liuzi Health Centre,Northern,Health Centre,Government/public,Rural,-12.189710,34.015720,-12.189710,34.015720
Nkhata Bay,NB,0324,Maula Health Centre,Northern,Health Centre,Government/public,Rural,-11.735180,34.235140,-11.735180,34.235140
Nkhata Bay,NB,0313,Mpamba Health Centre,Northern,Health Centre,Government/public,Rural,-11.546970,34.197270,-11.546970,34.197270
Nkhata Bay,NB,0314,Mzenga Health Centre,Northern,Health Centre,Government/public,Rural,-11.732490,34.074010,-11.732490,34.074010
Nkhata Bay,NB,0319,Usisya Health Centre,Northern,Health Centre,Government/public,Rural,-11.239400,34.209410,-11.239400,34.209410
Nkhata Bay,NB,0310,Khondowe,Northern,Health Centre,Government/public,Rural,-11.072810,34.219390,-11.072810,34.219390
Nkhata Bay,NB,0317,Ruarwe Dispensary,Northern,Dispensary,Government/public,Rural,-11.113770,34.230930,-11.113770,34.230930
Nkhata Bay,NB,0320,Nthungwa Health Centre,Northern,Health Centre,Government/public,Rural,-11.660140,33.800460,-11.660140,33.800460
Nkhata Bay,NB,0312,Lwazi Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.518640,34.151150,-11.518640,34.151150
Nkhata Bay,NB,0304,Chilambwe Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.691140,34.316170,-11.691140,34.316170
Nkhata Bay,NB,0325,Vizara Dispensary,Northern,Dispensary,Private for profit,Rural,-11.666560,34.261150,-11.666560,34.261150
Nkhata Bay,NB,0326,Cumnock Private Clinic,Northern,Clinic,Private for profit,Rural,-11.527050,34.084820,-11.527050,34.084820
Nkhata Bay,NB,0327,Nkhata Bay Private Clinic,Northern,Clinic,Private for profit,Urban,-11.606630,34.295490,-11.606630,34.295490
Nkhata Bay,NB,0328,Raha Private Clinic,Northern,Clinic,Private for profit,Urban,-11.612280,34.268740,-11.612280,34.268740
Nkhata Bay,NB,0322,Banja La Mstogolo (BLM) Nkhata,Northern,Clinic,NGO,Urban,-11.609070,34.298990,-11.609070,34.298990
Nkhata Bay,NB,0329,Mwaya Clinic,Northern,Dispensary,Government/public,Rural,-11.976580,34.076030,-11.976580,34.076030
Nkhata Bay,NB,0323,Kavuzi Clinic,Northern,Clinic,Company,Rural,-11.674410,34.081660,-11.674410,34.081660
Nkhata Bay,NB,0330,Kawalazi Estate Clinic,Northern,Clinic,Company,Rural,-11.644060,34.109830,-11.644060,34.109830
Nkhata Bay,NB,,Thoto Dispensary,Northern,Dispensary,Government/public,Rural,-11.453150,34.277320,,
Nkhata Bay,NB,,Chombe Estate Dispensary,Northern,Dispensary,Company,Rural,-11.647710,34.212140,,
,,,,,,,,,,,
Rumphi,RU,0417,Rumphi District Hospital,Northern,District Hospital,Government/public,Urban,-11.019930,33.854220,,
Rumphi,RU,0419,Tcharo Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.961930,34.222250,,
Rumphi,RU,0401,Bolero Rural Hospital,Northern,Rural/Community Hospital,Government/public,Urban,-10.978430,33.743420,,
Rumphi,RU,0408,Katowo Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-10.812780,33.522220,,
Rumphi,RU,0411,Mhuju Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-10.866850,33.997650,,
Rumphi,RU,0403,Chitimba Health Centre,Northern,Health Centre,Government/public,Rural,-10.598080,34.170260,,
Rumphi,RU,0421,Chisimuka Health Centre,Northern,Health Centre,Government/public,Rural,-10.769240,33.557510,,
Rumphi,RU,0422,Jalawe Health Centre,Northern,Health Centre,Government/public,Rural,-10.730520,34.161720,,
Rumphi,RU,0423,Lura Health Centre,Northern,Health Centre,Government/public,Rural,-10.726380,34.044080,,
Rumphi,RU,0413,Mphompha Health Centre,Northern,Health Centre,Government/public,Rural,-11.006620,34.073050,,
Rumphi,RU,0414,Mwazisi Health Centre,Northern,Health Centre,Government/public,Rural,-10.943560,33.579200,,
Rumphi,RU,0415,Mzokoto Health Centre,Northern,Health Centre,Government/public,Rural,-10.907770,34.027350,,
Rumphi,RU,0424,Ng'onga Health Centre,Northern,Dispensary,Government/public,Rural,-10.939220,33.943480,,
Rumphi,RU,0426,Chilinda,Northern,Health Post,Government/public,Rural,-10.591010,33.806050,,
Rumphi,RU,0427,Zunga Health Post,Northern,Health Post,Christian Health Association of Malawi (CHAM),Rural,-10.846280,34.212310,,
Rumphi,RU,0404,Livingstonia Mission Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-10.604670,34.110900,,
Rumphi,RU,0409,Luwuchi Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.683530,34.193530,,
Rumphi,RU,0412,Mlowe Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.764290,34.194880,,
Rumphi,RU,0416,Nthenje Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.917880,33.987860,,
Rumphi,RU,0428,St. Patricks Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Urban,-11.022970,33.873190,,
Rumphi,RU,0429,Eva Demaya Private Clinic,Northern,Clinic,Private for profit,Rural,-10.960020,33.648620,,
Rumphi,RU,0430,Kasambala Private Clinic,Northern,Clinic,Private for profit,Rural,-10.775930,34.039080,,
Rumphi,RU,0431,"Twisile Private Clinic, Nyondo",Northern,Clinic,Private for profit,Rural,-10.977600,33.745980,,
Rumphi,RU,0432,Wongani Private Clinic,Northern,Clinic,Private for profit,Urban,-11.023790,33.854190,,
Rumphi,RU,0435,Phwezi Private Clinic,Northern,Clinic,NGO,Rural,-10.887620,34.044460,,
Rumphi,RU,0425,Rumphi BLM,Northern,Clinic,NGO,Urban,-11.022790,33.855230,,
Rumphi,RU,0436,Mchenga Clinic,Northern,Clinic,Company,Rural,-10.699570,34.140360,,
,,,,,,,,,,,
Mzimba,MZ,0538,Mzuzu Cental Hospital,Northern,Central Hospital,Government/public,Urban,-11.427920,33.995500,,
Mzimba,MZ,0532,Mzimba District Hospital,Northern,District Hospital,Government/public,Urban,-11.898050,33.584210,,
Mzimba,MZ,0509,Euthini Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-11.458360,33.419250,,
Mzimba,MZ,0515,Katete Community Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-12.345920,33.614210,,
Mzimba,MZ,0501,Bulala Health Centre,Northern,Health Centre,Government/public,Rural,-11.678100,33.447980,,
Mzimba,MZ,0551,Bwengu Health Centre,Northern,Health Centre,Government/public,Urban,-11.063560,33.916460,,
Mzimba,MZ,0571,Chikangawa Health Centre,Northern,Health Centre,Government/public,Rural,-11.843620,33.787590,,
Mzimba,MZ,0502,Choma Health Centre,Northern,Health Centre,Government/public,Rural,-11.313180,33.993270,,
Mzimba,MZ,0503,Edingeni Health Centre,Northern,Health Centre,Government/public,Rural,-12.040720,33.312950,,
Mzimba,MZ,0506,Emfeni Health Centre,Northern,Health Centre,Government/public,Rural,-12.594060,33.609760,,
Mzimba,MZ,0507,Emsizini Health Centre,Northern,Health Centre,Government/public,Rural,-11.444350,33.824850,,
Mzimba,MZ,0508,Endindeni Health Centre,Northern,Health Centre,Government/public,Rural,-11.758180,33.556100,,
Mzimba,MZ,0554,Engucwini Health Centre,Northern,Health Centre,Government/public,Rural,-11.197610,33.823140,,
Mzimba,MZ,0406,Enukweni Health Centre,Northern,Health Centre,Government/public,Rural,-11.180050,33.885920,,
Mzimba,MZ,0510,Hoho Health Centre,Northern,Health Centre,Government/public,Rural,-12.278150,33.686400,,
Mzimba,MZ,0511,Jenda Health Centre,Northern,Health Centre,Government/public,Rural,-12.352060,33.547550,,
Mzimba,MZ,0517,Kabuwa Health Centre,Northern,Health Centre,Government/public,Rural,-12.517260,34.073950,,
Mzimba,MZ,0540,Kabwafu Health Centre,Northern,Health Centre,Government/public,Rural,-11.308690,33.525560,,
Mzimba,MZ,0512,Kafukule Health Centre,Northern,Health Centre,Government/public,Rural,-11.457500,33.633950,,
Mzimba,MZ,0514,Kamteteka Health Centre,Northern,Health Centre,Government/public,Rural,-11.836490,33.358920,,
Mzimba,MZ,0557,Kamwe Health Centre,Northern,Health Centre,Government/public,Rural,-11.102650,33.789110,,
Mzimba,MZ,0516,Khosolo Health Centre,Northern,Health Centre,Government/public,Rural,-12.440200,33.791330,,
Mzimba,MZ,0572,Nkhuyukuyu Health Centre,Northern,Health Centre,Government/public,Rural,-11.221830,33.914610,,
Mzimba,MZ,0519,Luvwere Health Centre,Northern,Health Centre,Government/public,Rural,-11.389210,33.672900,,
Mzimba,MZ,0545,Luwawa Health Centre,Northern,Health Centre,Government/public,Rural,-12.113370,33.719430,,
Mzimba,MZ,0520,Luwelezi Health Centre,Northern,Health Centre,Government/public,Rural,-12.488250,33.641190,,
Mzimba,MZ,0560,Luzi Health Centre,Northern,Health Centre,Government/public,Rural,-10.996810,33.955830,,
Mzimba,MZ,0522,Madede Health Centre,Northern,Health Centre,Government/public,Rural,-11.538940,33.294560,,
Mzimba,MZ,0523,Malidade Health Centre,Northern,Health Centre,Government/public,Rural,-11.229260,33.499890,,
Mzimba,MZ,0524,Manyamula Health Centre,Northern,Health Centre,Government/public,Rural,-11.940050,33.439450,,
Mzimba,MZ,0573,Matuli Health Centre,Northern,Health Centre,Government/public,Rural,-11.485130,33.896130,,
Mzimba,MZ,0525,Mbalachanda Health Centre,Northern,Health Centre,Government/public,Rural,-11.357380,33.371330,,
Mzimba,MZ,0541,Mkoma Health Centre,Northern,Health Centre,Government/public,Rural,-12.612350,33.782400,,
Mzimba,MZ,0526,Mpherembe Health Centre,Northern,Health Centre,Government/public,Rural,-11.288060,33.614310,,
Mzimba,MZ,0527,Msese Health Centre,Northern,Health Centre,Government/public,Rural,-12.359510,33.740020,,
Mzimba,MZ,0528,Mtende Health Centre,Northern,Health Centre,Government/public,Rural,-11.497240,33.548940,,
Mzimba,MZ,0529,Mtwalo Health Centre,Northern,Health Centre,Government/public,Rural,-11.396710,33.745910,,
Mzimba,MZ,0530,Mzalangwe Health Centre,Northern,Health Centre,Government/public,Rural,-11.612280,33.565100,,
Mzimba,MZ,0533,Mzuzu Health Centre,Northern,Health Centre,Government/public,Urban,-11.461380,34.015180,,
Mzimba,MZ,0534,Njuyu Health Centre,Northern,Health Centre,Government/public,Rural,-11.524550,33.699530,,
Mzimba,MZ,0568,Thunduwike Health Centre,Northern,Health Centre,Government/public,Rural,-11.176650,33.576360,,
Mzimba,MZ,0549,Ehehieni  Dispensary,Northern,Dispensary,Government/public,Rural,-12.262100,33.589120,,
Mzimba,MZ,0553,Ekwaiweni Dispensary,Northern,Dispensary,Government/public,Rural,-11.423090,33.897660,,
Mzimba,MZ,0559,Lusangazi Dispensary,Northern,Dispensary,Government/public,Rural,-11.499790,33.942910,,
Mzimba,MZ,0543,Vibangalala Dispensary,Northern,Dispensary,Government/public,Rural,-12.234330,33.486190,,
Mzimba,MZ,0556,"Escom, Mzuzu",Northern,Clinic,Government/public,Urban,-11.462870,34.022750,,
Mzimba,MZ,0566,Mzuzu Central Prison,Northern,Clinic,Government/public,Urban,-11.464740,34.019910,,
Mzimba,MZ,0574,Zolozolo Health Post,Northern,Health Post,Government/public,Urban,-11.435700,34.023940,,
Mzimba,MZ,0505,Embangweni Mission Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-12.136650,33.476810,,
Mzimba,MZ,0531,Mzambazi Community Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-11.427640,33.450310,,
Mzimba,MZ,0504,Ekwendeni Mission Hospital,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-11.371560,33.883420,,
Mzimba,MZ,0537,St. Johns Hospital,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-11.451610,34.028060,,
Mzimba,MZ,0537,St. John of God Mental Hospita,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-11.455710,34.013810,,
Mzimba,MZ,0513,Kalikumbi Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.203800,33.333520,,
Mzimba,MZ,0518,Lunjika Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.714510,33.685800,,
Mzimba,MZ,0521,Mabiri Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.246240,33.430000,,
Mzimba,MZ,0546,Mhalaunda Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.051180,33.466560,,
Mzimba,MZ,0535,Nkhorongo Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.390100,33.985140,,
Mzimba,MZ,0575,Mary Mount Clinic,Northern,Clinic,Christian Health Association of Malawi (CHAM),Urban,-11.442620,34.035820,,
Mzimba,MZ,0576,"WAFC Private Clinic, Banda, Be",Northern,Clinic,Private for profit,Rural,-12.354580,33.552840,,
Mzimba,MZ,0552,Dr Musachi's Surgery,Northern,Clinic,Private for profit,Urban,-11.457710,34.017140,,
Mzimba,MZ,0577,Kaswavipindi private Clinic,Northern,Clinic,Private for profit,Urban,-11.900570,33.594650,,
Mzimba,MZ,0578,Masm Medi Clinic Katoto,Northern,Clinic,Private for profit,Urban,-11.471110,33.995350,,
Mzimba,MZ,0579,"Chibanja Private Clinic, Mtika",Northern,Clinic,Private for profit,Urban,-11.451080,34.011780,,
Mzimba,MZ,0565,Mumbwe Medical Centre,Northern,Clinic,Private for profit,Urban,-11.461150,34.025990,,
Mzimba,MZ,0580,Vitumbiko Private Clinic,Northern,Clinic,Private for profit,Urban,-11.469860,34.069290,,
Mzimba,MZ,0581,"Care Medical Centre, Mtambo, M",Northern,Clinic,Private for profit,Urban,-11.460360,34.006960,,
Mzimba,MZ,0582,Macro Mzuzu,Northern,Clinic,NGO,Urban,-11.464900,34.004390,,
Mzimba,MZ,0570,Mzimba BLM,Northern,Clinic,NGO,Urban,-11.898820,33.594020,,
Mzimba,MZ,0550,Mzuzu BLM,Northern,Clinic,NGO,Urban,-11.456120,34.016380,,
Mzimba,MZ,0583,Raiply Clinic,Northern,Clinic,Company,Rural,-11.916440,33.755980,,
Mzimba,MZ,0584,Auction Holdings Clinic,Northern,Clinic,Private for profit,Urban,-11.463410,34.020530,,
Mzimba,MZ,0585,Moyale Barracks Clinics,Northern,Clinic,Government/public,Urban,-11.459760,34.038290,,
Mzimba,MZ,0586,Mzimba Prison,Northern,Clinic,Government/public,Urban,-11.910700,33.584140,,
Mzimba,MZ,0587,Mzuzu Police Clinic,Northern,Clinic,Government/public,Urban,-11.462110,34.024890,,
Mzimba,MZ,0588,Mzuzu Sobo Clinic,Northern,Clinic,Company,Urban,-11.418530,34.006450,,
Mzimba,MZ,0589,Mzuzu University Clinic,Northern,Clinic,Private for profit,Urban,-11.421750,33.995640,,
Mzimba,MZ,0590,SOS Medical Centre,Northern,Clinic,Private for profit,Urban,-11.471740,34.004390,,
,,,,,,,,,,,
Likoma,LK,0602,St Mary's / Chizumulu Health C,Northern,Health Centre,Government/public,Rural,-12.029340,34.624250,,
Likoma,LK,0601,Likoma/St Peters,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-12.064800,34.736570,,
,,,,,,,,,,,
Kasungu,KU,1008,Kasungu District Hospital,Central East,District Hospital,Government/public,Urban,-13.035790,33.480410,,
Kasungu,KU,1005,Kaluluma Rural Hospital,Central East,Rural/Community Hospital,Government/public,Rural,-12.577590,33.518590,,
Kasungu,KU,1001,Bua Health Centre,Central East,Health Centre,Government/public,Rural,-13.294030,33.538590,,
Kasungu,KU,1024,Chamama Health Centre,Central East,Health Centre,Government/public,Rural,-12.924306,33.776861,,
Kasungu,KU,1002,Chamwabvi Health Centre,Central East,Health Centre,Government/public,Rural,-13.107570,33.685280,,
Kasungu,KU,1003,Chulu Health Centre,Central East,Health Centre,Government/public,Rural,-12.821920,33.308160,,
Kasungu,KU,1006,Kamboni Health Centre,Central East,Health Centre,Government/public,Rural,-13.307590,33.181890,,
Kasungu,KU,1007,Kapelula Health Centre,Central East,Health Centre,Government/public,Rural,-12.877670,33.870860,,
Kasungu,KU,1033,Kasalika Health Centre,Central East,Health Centre,Government/public,Urban,-13.039850,33.498660,,
Kasungu,KU,1009,Kawamba Health Centre,Central East,Health Centre,Government/public,Rural,-13.295750,33.339300,,
Kasungu,KU,1023,Khola Health Centre,Central East,Health Centre,Government/public,Rural,-13.344470,33.316490,,
Kasungu,KU,1020,Linyangwa Health Centre,Central East,Health Centre,Government/public,Rural,-13.143790,33.300500,,
Kasungu,KU,1027,Lodjwa Health Centre,Central East,Health Centre,Government/public,Rural,-12.418980,33.529470,,
Kasungu,KU,1028,Mdunga Health Centre,Central East,Health Centre,Government/public,Rural,-12.993100,33.851900,,
Kasungu,KU,1010,Mkhota Health Centre,Central East,Health Centre,Government/public,Rural,-13.566510,33.343480,,
Kasungu,KU,1012,Mpasazi Health Centre,Central East,Health Centre,Government/public,Rural,-12.583194,33.381861,,
Kasungu,KU,1011,Mtunthama Health Centre,Central East,Health Centre,Government/public,Rural,-13.031450,33.682090,,
Kasungu,KU,1034,Ntepa Health Centre,Central East,Health Centre,Government/public,Rural,-12.622020,33.326810,,
Kasungu,KU,1022,Ofesi Health Centre,Central East,Health Centre,Government/public,Rural,-12.779390,33.549040,,
Kasungu,KU,1014,Santhe Health Centre,Central East,Health Centre,Government/public,Rural,-13.467120,33.393780,,
Kasungu,KU,1015,Simlemba Health Centre,Central East,Health Centre,Government/public,Rural,-12.740810,33.676400,,
Kasungu,KU,1035,Thupa Health Centre,Central East,Health Centre,Government/public,Rural,-12.682667,33.393528,,
Kasungu,KU,1016,Wimbe Health Centre,Central East,Health Centre,Government/public,Rural,-12.991260,33.686940,,
Kasungu,KU,1017,Chisinga Dispensary,Central East,Dispensary,Government/public,Rural,-12.622028,33.326917,,
Kasungu,KU,1004,Dwangwa Dispensary,Central East,Dispensary,Government/public,Rural,-12.881420,33.453700,,
Kasungu,KU,1021,Gogode Dispensary,Central East,Dispensary,Government/public,Rural,-12.887730,33.561340,,
Kasungu,KU,1036,Lifupa Dispensary,Central East,Dispensary,Government/public,Rural,-13.048889,33.146944,,
Kasungu,KU,1037,Kapyanga Health Post,Central East,Health Post,Government/public,Rural,-12.823840,33.788420,,
Kasungu,KU,1013,Nkhamenya Hospital,Central East,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-12.566060,33.500980,,
Kasungu,KU,1019,KTFT/Mziza Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.279410,33.504050,,
Kasungu,KU,1012,Newa Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.583330,33.381740,,
Kasungu,KU,1032,St. Andrews Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.032630,33.671140,,
Kasungu,KU,1038,St. Faith Anglican Clinic,Central East,Clinic,Christian Health Association of Malawi (CHAM),Rural,-12.928860,33.795200,,
Kasungu,KU,1039,"Kasalika Private Clinic, Chimb",Central East,Clinic,Private for profit,Urban,-13.035220,33.499270,,
Kasungu,KU,1040,"Titani Private Clinic, Chimpha",Central East,Clinic,Private for profit,Rural,-12.984910,33.694370,,
Kasungu,KU,1041,Yankho Private Clinic,Central East,Clinic,Private for profit,Urban,-13.040440,33.481110,,
Kasungu,KU,1042,Chimwemwe Private Clinic,Central East,Clinic,Private for profit,Rural,-12.567170,33.511490,,
Kasungu,KU,1043,"Mbalunji Private Clinic, Dhlam",Central East,Clinic,Private for profit,Rural,-12.814060,33.433900,,
Kasungu,KU,1044,Gogo Leya Private Clinic,Central East,Clinic,Private for profit,Rural,-12.700320,33.488990,,
Kasungu,KU,1045,Kalikene Private Clinic,Central East,Clinic,Private for profit,Urban,-13.038900,33.481380,,
Kasungu,KU,1046,"Chipulumutso Private Clinic, K",Central East,Clinic,Private for profit,Rural,-13.301010,33.528060,,
Kasungu,KU,1047,"St. Mark Private Clinic, Magom",Central East,Clinic,Private for profit,Urban,-13.043120,33.480490,,
Kasungu,KU,1048,"Chikumbutso Private Clinic, Ng",Central East,Clinic,Private for profit,Urban,-13.065160,33.434820,,
Kasungu,KU,1049,"Nkuriza, Stanilas, Inernos Pri",Central East,Clinic,Private for profit,Rural,-12.927410,33.796280,,
Kasungu,KU,1050,"Phanga, Chimongo J. Prince Hen",Central East,Clinic,Private for profit,Rural,-13.211630,33.503020,,
Kasungu,KU,1051,"Phiri, Harold K. S. Chisomo Pr",Central East,Clinic,Private for profit,Rural,-13.437900,33.384160,,
Kasungu,KU,1052,"Veruwa, Flyven P. Mphatso Zath",Central East,Clinic,Private for profit,Urban,-13.067500,33.482970,,
Kasungu,KU,1053,Kasungu BLM,Central East,Clinic,NGO,Urban,-13.043090,33.478580,,
Kasungu,KU,1054,Kamuzu Academy Clinic,Central East,Clinic,Company,Rural,-13.029380,33.688430,,
Kasungu,KU,1055,Kasungu Prison,Central East,Clinic,Government/public,Urban,-13.020950,33.457160,,
Kasungu,KU,1056,Internals Private Clinic,Central East,Clinic,Private for profit,Rural,-12.927440,33.796160,,
Kasungu,KU,1057,Lisa Private Clinic,Central East,Clinic,Private for profit,Rural,-13.439410,33.393420,,
Kasungu,KU,1058,Mwatitha Private Clinic,Central East,Clinic,Private for profit,Rural,-13.435520,33.389800,,
,,,,,,,,,,,
Nkhotakota,KK,1111,Nkhotakota District Hospital,Central East,District Hospital,Government/public,Urban,-12.925080,34.279390,,
Nkhotakota,KK,1104,Dwambazi Rural Hospital,Central East,Rural/Community Hospital,Government/public,Rural,-12.234050,33.991940,,
Nkhotakota,KK,1101,Benga Health Centre,Central East,Health Centre,Government/public,Rural,-13.368460,34.274040,,
Nkhotakota,KK,1102,Bua Health Centre,Central East,Health Centre,Government/public,Rural,-12.796700,34.209710,,
Nkhotakota,KK,1114,Katimbira Health Centre,Central East,Health Centre,Government/public,Rural,-12.756940,34.217370,,
